X5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_432_DAM_B_H_2	0.312293849188872	0.397359759069536	0.39484458196524	0.128234167851268	0.0860442883841879	0.103872358943538	0.115964716226967	0.109520489051036	0.10989227498712	0.0841612705337368	0	0.119855802400687	0.11756087369519	0.107438238900356	0.0893004520764046	0.264874624960268	0.25290682694827	0.225458394205693	0.244350579829121	0.336099886000194	0.348135529876291	0.157179903750889	0.139153618449598	0.10698222226958	0.11236524978856	0.354765864171743	0.27498470497089	0.310065970228661	0.385045363858071	0.37997501326497
T10_432_DAM_B_I_2	0.352296396063823	0.422692496934265	0.416099788843647	0.174822069948301	0.14912918911984	0.123558836058894	0.119468280777942	0.150384648404904	0.14412087372393	0.101891576893542	0.119855802400687	0	0.122977873595041	0.114762369177792	0.126930189500999	0.294004699766137	0.274641818890772	0.212550569512419	0.261408837336098	0.338201042044529	0.338585432379977	0.192089907612967	0.142740805670287	0.152479326160219	0.158674654348403	0.390839304450237	0.303231283227507	0.347968712221491	0.417256250431263	0.41312905605517
T10_432_DAM_B_K_2	0.332153636279683	0.398245193701844	0.3928206307021	0.115505098019776	0.124423825725472	0.106026006227655	0.0792512128817358	0.0940187458654675	0.119706650881319	0.0836520168221834	0.11756087369519	0.122977873595041	0	0.0742925373865034	0.0859344481888713	0.259530351416751	0.24708771264956	0.211125360603201	0.228660957927478	0.324535308467424	0.337312838146927	0.195848177686505	0.170092832130123	0.156650500795711	0.163536778123869	0.372466940555338	0.284823167967801	0.325835764737671	0.395572887578115	0.391744283638655
T10_432_DAM_B_L_2	0.331918537612986	0.40233143954675	0.400251646419331	0.125995381608704	0.111400102092468	0.102287270663464	0.0701465706139092	0.0798449994473814	0.086717665910837	0.0751894121907225	0.107438238900356	0.114762369177792	0.0742925373865034	0	0.07713458176065	0.263201077404984	0.238817997325755	0.196565707113949	0.223171328719148	0.334535449983578	0.349699345299412	0.204004945491583	0.169787020157452	0.163661920294343	0.16422300719249	0.372316397691905	0.288125587595129	0.327870648568498	0.40469096229604	0.402308545378538
T10_432_DAM_BJ_2	0.321888974796634	0.39959632065792	0.398412698993691	0.124087638836814	0.098528932586182	0.0888474706658824	0.0874392230758794	0.0875954876045281	0.109822297922733	0.0739102944618762	0.0893004520764046	0.126930189500999	0.0859344481888713	0.07713458176065	0	0.266877452301958	0.254605537303474	0.21416789910094	0.236195119748095	0.325039519254805	0.339607600142214	0.190357532310161	0.157828324221559	0.146783830209732	0.141644129927013	0.358609435370978	0.279310005617748	0.319825436269805	0.393922664970471	0.390637993139648
T10_432_DAM_W_A_C_2	0.211465773764992	0.30073541150991	0.303977037020558	0.216134571306243	0.253866597571896	0.268756766617096	0.258572660312959	0.248532319030538	0.247376454722535	0.273105795227124	0.264874624960268	0.294004699766137	0.259530351416751	0.263201077404984	0.266877452301958	0	0.112545043713759	0.167842414305178	0.174301644111884	0.292862243328568	0.327915213114335	0.277022902800243	0.333480781134621	0.306545951138821	0.311231022276875	0.219110722636135	0.227606166031972	0.221194737005812	0.272010909166136	0.275672201967956
T10_432_DAM_W_D_F_2	0.21996500504799	0.305993745494498	0.309577963467553	0.216311499080434	0.241388238207546	0.263263033007352	0.22982535789466	0.235226138203818	0.222341169076243	0.254686297008741	0.25290682694827	0.274641818890772	0.24708771264956	0.238817997325755	0.254605537303474	0.112545043713759	0	0.155952048549643	0.162346998940353	0.312471715220085	0.342874028217537	0.266966029608564	0.316941826950492	0.290303007098633	0.294822747850399	0.238599807902683	0.240088917576892	0.214123776521777	0.292896493042577	0.291999640155311
T10_432_DAM_W_G_I_2	0.2508465470191	0.350050121164288	0.352509421204953	0.253765216974569	0.215862596628528	0.21229545559446	0.195323832610015	0.211302694952651	0.212105603099152	0.207792982485606	0.225458394205693	0.212550569512419	0.211125360603201	0.196565707113949	0.21416789910094	0.167842414305178	0.155952048549643	0	0.156434546169525	0.28550527798974	0.309098634465798	0.279226348457933	0.270691335862933	0.257172534343509	0.256965015634363	0.283013549377781	0.204419544143989	0.251494593219597	0.34150727826294	0.341925501305908
T10_432_DAM_W_J_L_2	0.255179602295724	0.33627388714729	0.327877318120944	0.263502316056234	0.243831115283496	0.247281810256563	0.215097067434988	0.22559746941632	0.234879457389197	0.236180639974562	0.244350579829121	0.261408837336098	0.228660957927478	0.223171328719148	0.236195119748095	0.174301644111884	0.162346998940353	0.156434546169525	0	0.269183971789211	0.300093819406036	0.301174702393313	0.290533687692473	0.267510286998619	0.269213277122999	0.282903607596299	0.226111658743097	0.243512812590401	0.327235236288978	0.328350325381881
T10_W_A_C_2	0.253837734496624	0.303863648143493	0.296827520358087	0.366394434882772	0.338393820539051	0.326208113501567	0.331523081794851	0.335289003365561	0.349889252987634	0.330217843071688	0.336099886000194	0.338201042044529	0.324535308467424	0.334535449983578	0.325039519254805	0.292862243328568	0.312471715220085	0.28550527798974	0.269183971789211	0	0.155968287221234	0.355769034619828	0.343366738500252	0.341467699859422	0.337758129000718	0.266444430483147	0.23710232387848	0.265339487273566	0.216118949612312	0.216975499451218
T10_W_D_E_2	0.318028400044379	0.368284962473769	0.363986340261847	0.384934700903531	0.352321737070151	0.338663855575351	0.341893039234925	0.353771970645936	0.367030040420478	0.341659782605602	0.348135529876291	0.338585432379977	0.337312838146927	0.349699345299412	0.339607600142214	0.327915213114335	0.342874028217537	0.309098634465798	0.300093819406036	0.155968287221234	0	0.368273851629578	0.327611780738088	0.352670174429407	0.351573699439629	0.337442157039851	0.291705915601806	0.324104221949153	0.296140487335579	0.294617356949361
T5_432_DAM_B_H_2	0.286705840131246	0.382100218567498	0.383083468605193	0.151098069429627	0.177087879449398	0.2063229379383	0.210349025853132	0.195820115825427	0.189754136657153	0.192518224749097	0.157179903750889	0.192089907612967	0.195848177686505	0.204004945491583	0.190357532310161	0.277022902800243	0.266966029608564	0.279226348457933	0.301174702393313	0.355769034619828	0.368273851629578	0	0.167957809170606	0.135713693964835	0.144515048199129	0.345011775029977	0.287628699671133	0.313269816536356	0.36901744402354	0.36463911469961
T5_432_DAM_B_I_2	0.33935096358023	0.422108053359685	0.419967246065412	0.214162878317566	0.182569135736988	0.16631516209695	0.170438897367191	0.194022859208852	0.199041943698502	0.159551521762754	0.139153618449598	0.142740805670287	0.170092832130123	0.169787020157452	0.157828324221559	0.333480781134621	0.316941826950492	0.270691335862933	0.290533687692473	0.343366738500252	0.327611780738088	0.167957809170606	0	0.0918869128037374	0.0977209858226223	0.39152068977196	0.299982388837818	0.338844379444037	0.411849219856064	0.405216502512983
T5_432_DAM_B_J_2	0.313288261916422	0.403560129125386	0.402056816485496	0.177917989334095	0.148363394460636	0.16209869481826	0.167190300768813	0.156954530283375	0.16840941364514	0.151494724682719	0.10698222226958	0.152479326160219	0.156650500795711	0.163661920294343	0.146783830209732	0.306545951138821	0.290303007098633	0.257172534343509	0.267510286998619	0.341467699859422	0.352670174429407	0.135713693964835	0.0918869128037374	0	0.063577999326232	0.36575900045287	0.2711312226997	0.314196282982749	0.394229984972234	0.386589706829256
T5_432_DAM_B_L_2	0.317371245646637	0.405276921905788	0.402282212151469	0.182947549839629	0.148246597896273	0.159998812989137	0.165257864698126	0.161304463854786	0.169458890473291	0.155953599293573	0.11236524978856	0.158674654348403	0.163536778123869	0.16422300719249	0.141644129927013	0.311231022276875	0.294822747850399	0.256965015634363	0.269213277122999	0.337758129000718	0.351573699439629	0.144515048199129	0.0977209858226223	0.063577999326232	0	0.367571770312058	0.279334116493712	0.318845717911089	0.395257396647429	0.387969323329908
T5_432_DAM_W_D_F_2	0.124252459408088	0.22034799581633	0.214613748569877	0.328301065212809	0.347210997055536	0.368456992091439	0.361706184548174	0.357794463848208	0.35291983200716	0.375353505022003	0.354765864171743	0.390839304450237	0.372466940555338	0.372316397691905	0.358609435370978	0.219110722636135	0.238599807902683	0.283013549377781	0.282903607596299	0.266444430483147	0.337442157039851	0.345011775029977	0.39152068977196	0.36575900045287	0.367571770312058	0	0.198557199109722	0.12989113886496	0.173314173866882	0.188684397465829
T5_432_DAM_W_G_I_2	0.13384303762738	0.283398450166621	0.279863333579165	0.310771984092601	0.272460487789782	0.278102187873995	0.285363008886621	0.267069176722613	0.284398408559116	0.294708340495588	0.27498470497089	0.303231283227507	0.284823167967801	0.288125587595129	0.279310005617748	0.227606166031972	0.240088917576892	0.204419544143989	0.226111658743097	0.23710232387848	0.291705915601806	0.287628699671133	0.299982388837818	0.2711312226997	0.279334116493712	0.198557199109722	0	0.158744723901838	0.260205180848364	0.261118620310703
T5_432_DAM_W_J_L_2	0.114547308079827	0.221359245405529	0.217450116318729	0.310875859173768	0.305944769513941	0.328509340080648	0.316415735997973	0.314878019292942	0.308052303754442	0.332978020347339	0.310065970228661	0.347968712221491	0.325835764737671	0.327870648568498	0.319825436269805	0.221194737005812	0.214123776521777	0.251494593219597	0.243512812590401	0.265339487273566	0.324104221949153	0.313269816536356	0.338844379444037	0.314196282982749	0.318845717911089	0.12989113886496	0.158744723901838	0	0.205059191839958	0.216360458530343
T5_W_A_C_2	0.209458748127674	0.200274208545759	0.21148236513101	0.356830159073671	0.378444308441083	0.401115578366793	0.395799471554383	0.388153249355792	0.388427780406767	0.404951991179329	0.385045363858071	0.417256250431263	0.395572887578115	0.40469096229604	0.393922664970471	0.272010909166136	0.292896493042577	0.34150727826294	0.327235236288978	0.216118949612312	0.296140487335579	0.36901744402354	0.411849219856064	0.394229984972234	0.395257396647429	0.173314173866882	0.260205180848364	0.205059191839958	0	0.102448742443929
T5_W_D_E_2	0.213726974215086	0.22844957685728	0.233641096608324	0.351420690161539	0.375458001502952	0.396872806463761	0.397442953874233	0.384906697054884	0.384513934655167	0.402636413413795	0.37997501326497	0.41312905605517	0.391744283638655	0.402308545378538	0.390637993139648	0.275672201967956	0.291999640155311	0.341925501305908	0.328350325381881	0.216975499451218	0.294617356949361	0.36463911469961	0.405216502512983	0.386589706829256	0.387969323329908	0.188684397465829	0.261118620310703	0.216360458530343	0.102448742443929	0
