"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Candidatus Protochlamydia"	"Chlamydiae"	"Parachlamydiaceae"	0.568663334927317	0.826866741558466	0.585087568681319	0.845527356758944	-2.05765438498404	-2.08485725047415	-1.83005563730554	0.487006685680259	5.23265439634512	0.113909567008233	0.445312570380321
"Candidatus Rhabdochlamydia"	"Chlamydiae"	"Rhabdochlamydiaceae"	0.502770277080615	0.778208105992075	0.536959134615385	0.800822585188456	-2.29284832928998	-2.11735533349032	-2.72947656305332	-0.813348788280913	4.4540343128943	-0.165540827697586	0.417968857192783
"Candidatus Solibacter"	"Acidobacteria"	"Solibacteraceae"	0.470045635090772	0.774030694989512	0.511100618131868	0.786863558662555	-2.24410794444231	-2.04932231621765	-2.72790496365088	-0.697658373724599	4.39690106227776	-0.133376374222995	0.4396887931705
"Candidatus Xiphinematobacter"	"Verrucomicrobia"	"[Chthoniobacteraceae]"	0.479742392697471	0.775314513272777	0.507666552197802	0.790536918880594	-2.19529729705225	-1.99542369661474	-2.63250462859789	-1.01521938566757	4.38955053226423	-0.193403338154701	0.371093925582189
"Caulobacter"	"Proteobacteria"	"Caulobacteraceae"	0.548701478780996	0.821663979695938	0.588221153846154	0.837985758843864	-2.34073869691172	-2.4226907533735	-2.04417778052906	0.994194255102638	5.97935628133425	0.151185195207849	0.435797747730562
"Cellulomonas"	"Actinobacteria"	"Cellulomonadaceae"	0.306636099797426	0.68130343628572	0.312912087912088	0.665357635227428	-2.04268291868021	-2.38980547523227	2.09583689354351	3.924656568496	5.7891989139693	0.593278275298387	0.292969067724722
"Cellvibrio"	"Proteobacteria"	"Alteromonadaceae"	0.578378556283107	0.833228406706225	0.637843406593407	0.86358664898484	-1.78325078717662	-1.79132212100181	-1.74793217173099	0.125252336296192	5.09060369478918	0.0217845297856857	0.490272385818683
"Chryseobacterium"	"Bacteroidetes"	"[Weeksellaceae]"	0.524796210501844	0.792153439790653	0.51798592032967	0.808630161840997	-1.37207384857826	-1.71894125650178	0.271516771874481	2.07592359999241	5.49975349247002	0.290836254658577	0.346303716096689
"Collimonas"	"Proteobacteria"	"Oxalobacteraceae"	0.431500533955016	0.753308207101138	0.489620535714286	0.775360368349297	-2.09675681368937	-1.75519360924331	-2.8472594794558	-1.30212625819413	5.40767008399579	-0.239014588615221	0.385214160662816
"Corynebacterium"	"Actinobacteria"	"Corynebacteriaceae"	0.106410120751076	0.456020912176232	0.06328125	0.367660795470907	-1.39899560487044	-2.27992730876843	4.32128091075358	5.82658571092895	5.14516499563146	1.03077317978447	0.144532163905346
"Cryocola"	"Actinobacteria"	"Microbacteriaceae"	0.4772719667948	0.781666637249581	0.509375	0.794300484316659	-2.38288297598714	-2.18224799580284	-2.93819620183019	-0.876305182615468	4.90013565848526	-0.165327984129275	0.40625012355222
"DA101"	"Verrucomicrobia"	"[Chthoniobacteraceae]"	0.148511029447714	0.473326150088901	0.170930631868132	0.577781466713662	-1.14057476407026	-1.99099460748987	2.61366383644528	3.96309187998547	5.00603516677474	0.681322122254234	0.225681428992008
"Deinococcus"	"[Thermi]"	"Deinococcaceae"	0.559126171276582	0.820328259688719	0.600935782967033	0.848084564446897	-1.11384345407926	-1.37391859233692	0.619188888970577	1.64474293280881	5.52749981603559	0.251322889290538	0.382812657671857
"Dermacoccus"	"Actinobacteria"	"Dermacoccaceae"	0.582759170839553	0.834376211945324	0.693149038461538	0.896388244940014	-0.487116913336692	-0.900106133031935	1.83433195919881	0.497420031359749	5.810267394146	0.0742249031607694	0.460937549975292
"Devosia"	"Proteobacteria"	"Hyphomicrobiaceae"	0.155324749550394	0.52284110752747	0.199948489010989	0.569029379966842	-0.637042143890938	1.39877807301655	-2.78828526239793	-3.74033325550009	5.48542350773545	-0.620492358132149	0.241245582064535
"Dokdonella"	"Proteobacteria"	"Xanthomonadaceae"	0.0346887904904015	0.352636769713215	0.00270432692307692	0.0659920157967033	7.98646171086056	8.584696339329	3.4171549375652	-5.31867656142804	3.02194412420838	-1.69046298546965	0.0234441118144528
"Dyella"	"Proteobacteria"	"Xanthomonadaceae"	0.19266526216398	0.59305830093835	0.336074862637363	0.675514110387466	-1.27422229485465	-0.655787986624111	-2.82137976059272	-2.70047299080776	6.28629821372276	-0.449825105105298	0.284047027552365
"Enhydrobacter"	"Proteobacteria"	"Moraxellaceae"	0.42723793607496	0.751175910321837	0.45887706043956	0.759764439929181	-2.04507504575065	-1.72992011105503	-2.77596228645589	-1.11292872074102	4.61619746945682	-0.213173935137879	0.386718901837579
"Enterococcus"	"Firmicutes"	"Enterococcaceae"	0.436336345542474	0.765439512798579	0.462319711538462	0.767198556510465	-2.02777646635592	-1.61492680806494	-2.80776158990241	-1.63470608098731	4.95027272121963	-0.24366448173839	0.371093925582189
"Exiguobacterium"	"Firmicutes"	"[Exiguobacteraceae]"	0.554276960618704	0.808590595777467	0.558207417582418	0.808951423567956	-2.29856397752071	-2.08395776950977	-2.85931113110037	-1.04494645836131	4.61109843522748	-0.195940839344466	0.386718901837579
"Flavisolibacter"	"Bacteroidetes"	"Chitinophagaceae"	0.458887621544812	0.753310437192723	0.468380837912088	0.763492592814103	-2.18774371985826	-2.38215045072979	-1.347936061829	1.4855456852362	5.36811892400558	0.225076444196069	0.369649981900468
"Flavobacterium"	"Bacteroidetes"	"Flavobacteriaceae"	0.18906469956399	0.613314551825138	0.141680975274725	0.566608354781379	-1.2286767823074	-1.95946497396762	4.13530487712387	6.03973529946007	6.2564281592104	0.805400554249116	0.230469233107769
"Flectobacillus"	"Bacteroidetes"	"Cytophagaceae"	0.570866509352891	0.815781107761304	0.602086195054945	0.851782703802508	-2.14171861595582	-2.28273950024505	-1.84187665362721	0.793034562693709	4.84196637404471	0.142324115438927	0.42412461160593
"Fusobacterium"	"Fusobacteria"	"Fusobacteriaceae"	0.533029159527878	0.806368176909531	0.598497596153846	0.839394743830143	-2.05245080765801	-2.19173930856963	-1.62916818789938	0.991620142612057	5.29972424975579	0.170232855077498	0.431906702321737
"Gemella"	"Firmicutes"	"Gemellaceae"	0.467210367119948	0.763054032575661	0.517067307692308	0.796559821165646	-2.21813761786998	-2.4195397088407	-1.58343711470408	1.19438106600638	5.13209747231269	0.212047272552998	0.416342521040547
"Geothrix"	"Acidobacteria"	"Holophagaceae"	0.507465290090937	0.790036453117409	0.521488667582418	0.793213055364834	-2.18838807891149	-2.40271151603457	-1.51682017032313	1.09681715490345	5.35027732722495	0.159981539157303	0.39688729540729
"Gordonia"	"Actinobacteria"	"Gordoniaceae"	0.466742856759784	0.781972167085486	0.538341346153846	0.823373719175817	-1.04289891285369	-1.48345818779807	2.37467864102122	1.81284849758006	6.68665969904897	0.248366269713801	0.375000169541022
"Haemophilus"	"Proteobacteria"	"Pasteurellaceae"	0.511915352339192	0.776928363838455	0.532117101648352	0.796034690089151	-2.09945430663116	-1.907993139254	-2.49826644324407	-0.579702615175683	4.24407140780949	-0.135672176265993	0.441406325542815
"Herbaspirillum"	"Proteobacteria"	"Oxalobacteraceae"	0.505294005606876	0.783437784298753	0.544677197802198	0.796999001766	-2.10549806940817	-1.94101634161865	-2.61545614263072	-0.618097806155212	5.0590501992672	-0.0988081563859741	0.435797747730562
"Hydrogenophilus"	"Proteobacteria"	"Rhodocyclaceae"	0.49391095286479	0.753494793982328	0.530417239010989	0.788095726788628	-2.15729095051003	-2.38495660566701	-1.39336806214908	0.834868146874683	4.4964977982607	0.149474178979086	0.404669385514707
"Janthinobacterium"	"Proteobacteria"	"Oxalobacteraceae"	0.000389944417245507	0.0205036604556181	0.00112465659340659	0.0455670501373626	11.4958112813051	11.1607839113192	15.0391475294248	3.85018645602094	1.3282597052731	2.82778500016923	0.00027407495720991
"Jeotgalicoccus"	"Firmicutes"	"Staphylococcaceae"	0.54040512974042	0.806193174414636	0.566483516483516	0.821789444028625	-2.29054774576893	-2.35721386756699	-1.98069992097944	1.00995023012506	5.77507791650993	0.151877456254765	0.431906702321737
"Kaistobacter"	"Proteobacteria"	"Sphingomonadaceae"	0.464980880336705	0.772123130497067	0.524089972527472	0.787619959406708	-2.3465480888422	-2.11646796104001	-2.86499213926173	-0.944838451215789	4.53381025027207	-0.188891704901257	0.421875101826505
"Lactobacillus"	"Firmicutes"	"Lactobacillaceae"	0.479450557189549	0.757835948564611	0.521067994505494	0.790665849855701	-2.22786795043143	-2.46381020743794	-1.40174597267063	1.23228966655867	4.34995842203396	0.202275351748176	0.408560430643848
"Legionella"	"Proteobacteria"	"Legionellaceae"	0.502467220355394	0.778717247912711	0.531473214285714	0.802438546895504	-2.38678174526409	-2.21266017668647	-2.96493355120462	-0.753559196218845	4.55649188760683	-0.146060310673228	0.421875101826505
