"Genus"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Rhodanobacter"	0.0895355571058852	0.466211402028727	0.333333333333333	0.557908760276326	5.63380405438855	6.39427168114689	4.94031360366448	-1.43084951976757	0.453207657184703	-3.17025451253048	0.000547999460257121
"Rhodobacter"	0.550687376340671	0.769475138703169	0.763020833333333	0.868174545156571	2.04283612907613	3.1109093183236	1.96038509049589	-1.21143175400802	1.88118875702041	-0.720643664347253	0.348838042407879
"Rhodococcus"	0.25592800867454	0.576930308497384	0.388020833333333	0.59698873039973	-2.82784683358986	-5.67470787637145	-2.08495998873663	3.5024953222965	2.56989813420038	1.38372042029079	0.0542744309441129
"Rhodoferax"	0.0836717502638528	0.456229663668121	0.333333333333333	0.557908760276326	-0.464677775123931	2.29191809348488	-7.40808533245631	-9.57472934974465	2.73218677126546	-3.56627650350406	0.000547999460257121
"Rhodoplanes"	0.181616143958569	0.526306245588266	0.34375	0.566711561629985	3.97672629438551	3.36681144721479	4.2872019549394	0.913614127270494	0.440353900979898	1.96590401873169	0.023281977911024
"Roseococcus"	0.680323692460541	0.842971824320846	0.841145833333333	0.923114625138359	1.4320916738591	1.4320916738591	2.03874575999734	0.497047011622193	1.25720945815619	0.450915507841904	0.364341818575481
"Rubrivivax"	0.429509888011216	0.685499098257624	0.546875	0.72069145590427	2.11755137783311	2.28923041522647	1.71846340176621	-0.558736954940438	0.569585611987677	-0.981861890633357	0.171877931106058
"Ruminococcus"	0.661797386430488	0.821412204014261	0.8125	0.894479975110176	-4.66420938289701	-5.19591278142864	-2.03694244635205	2.51131670008596	5.25721572139176	0.439520911394211	0.335938435121624
"Runella"	0.159445692367142	0.512220165701198	0.333333333333333	0.557908760276326	-0.286872733009589	2.19578460042627	-2.04186921626816	-4.28675729126379	1.64356568552086	-2.69638102839987	0.000547999460257121
"Salinibacterium"	0.06442265652451	0.443819313615489	0.333333333333333	0.557908760276326	4.4978901093607	5.35648466411259	3.92936252634489	-1.45761646704158	0.331753663383686	-4.3112772106303	0.000547999460257121
