"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.SD_treated"	"rab.win.water_treated"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Cellvibrio"	"Proteobacteria"	"Alteromonadaceae"	0.755529047012597	0.945490252670022	0.69291351010101	0.931956460997116	11.3191049861004	11.2822268587811	11.4232659820484	0.356104395467926	2.7029990041465	0.151485272343825	0.430803600720243
"Chryseobacterium"	"Bacteroidetes"	"[Weeksellaceae]"	0.629451553156452	0.895500275484384	0.696473144910645	0.931264497395898	-2.47554095605548	-2.92725597389611	-1.59755306063309	0.575840080102923	6.93076831541044	0.111202167679762	0.457589303451011
"Comamonas"	"Proteobacteria"	"Comamonadaceae"	0.357945700908706	0.811587978300495	0.736221590909091	0.943124895088823	3.01031357532913	1.21317709522472	5.24795237074138	2.30858538628345	8.28440070332662	0.248276737011986	0.441964310140047
"Corynebacterium"	"Actinobacteria"	"Corynebacteriaceae"	0.486951265791413	0.853192290797536	0.485947212509713	0.882247922370335	-1.35726686951541	-0.295989954161909	-1.7828759559863	-2.32221914886373	7.27754254336555	-0.287575680429236	0.378619206990508
"Crenothrix"	"Proteobacteria"	"Crenotrichaceae"	0.519275439510707	0.859411645682931	0.545603875291375	0.891544430254682	-3.65551477385652	-3.44585018245754	-3.86268970535981	-0.509652162774775	4.41046104450226	-0.105681999466509	0.456570173990505
"Cryocola"	"Actinobacteria"	"Microbacteriaceae"	0.476774154532843	0.845365530076747	0.504740918803419	0.877327319761195	-3.75309263427036	-3.31005263271526	-4.17271175294447	-0.876284758829864	4.63095699720479	-0.186566844357948	0.395089331279686
"Cupriavidus"	"Proteobacteria"	"Oxalobacteraceae"	0.435821422387248	0.823355830022862	0.51159188034188	0.868866851876823	-4.09173588562894	-3.55955317620245	-4.50278212817147	-0.866745621584864	5.33104524857039	-0.142821635370143	0.407572422630826
"Curvibacter"	"Proteobacteria"	"Comamonadaceae"	0.700391199893796	0.924620386493362	0.755039578477078	0.943950638721137	5.82144443813879	4.25649721414435	6.21698504910467	1.21887033436937	9.63959572188525	0.130715500466354	0.441964310140047
"Cytophaga"	"Bacteroidetes"	"Cytophagaceae"	0.206599065597838	0.749187703683878	0.373751942501943	0.855101460132345	4.34567312881155	2.46144368046264	4.52347937842912	3.26975498241793	6.98975307597104	0.453240462245374	0.348214355133745
"Dechloromonas"	"Proteobacteria"	"Rhodocyclaceae"	0.797118210308109	0.945952959258228	0.899277632090132	0.97351169898626	3.2194709237589	4.08822306382544	3.0424027377126	0.172401495244873	5.52610240923092	0.0227808623105868	0.493303574209457
"Devosia"	"Proteobacteria"	"Hyphomicrobiaceae"	0.527393207777522	0.878010179810369	0.891250242812743	0.973874526894783	10.1399755370578	9.87491051651968	10.3262147301131	-0.286093157874094	2.49984572967541	-0.0790704391429257	0.473214296867842
"Dokdonella"	"Proteobacteria"	"Xanthomonadaceae"	0.633199779311409	0.896856786950021	0.648545551670552	0.915950495641142	-3.21243036699386	-3.2297701992162	-3.19823877603052	0.196160640890456	6.07302209794681	0.0313868727956384	0.481069050152736
"Emticicia"	"Bacteroidetes"	"Cytophagaceae"	0.0501448458921513	0.678472545675877	0.0720498251748252	0.72905416319668	5.93051381459602	5.18623973941816	6.38424077267053	1.65708880304374	2.73420708701477	0.599144302938746	0.209354301720432
"Enhydrobacter"	"Proteobacteria"	"Moraxellaceae"	0.39440477482111	0.813872067281835	0.452912538850039	0.862544962699082	-3.93946871604496	-3.28611870144899	-4.56782541583804	-1.71972052915575	5.35251216539114	-0.287699615424215	0.368303630185821
"Enterobacter"	"Proteobacteria"	"Enterobacteriaceae"	0.452682095119226	0.827049496079589	0.493544823232323	0.867622760225636	-3.97123177913852	-3.50392785499348	-4.49735676284169	-1.45699422787053	4.62257682309444	-0.246628193689056	0.396436570340035
"Erwinia"	"Proteobacteria"	"Enterobacteriaceae"	0.285904767428563	0.78743088334587	0.207010003885004	0.812345117850879	1.35480807178305	2.81005409257011	-2.07610304346358	-2.58371087720373	7.22054160621436	-0.359845248698765	0.281250112325686
"Erwinia"	"Proteobacteria"	"Enterobacteriaceae"	0.285904767428563	0.78743088334587	0.207010003885004	0.812345117850879	1.35480807178305	2.81005409257011	-2.07610304346358	-2.58371087720373	7.22054160621436	-0.359845248698765	0.281250112325686
"Fimbriimonas"	"Armatimonadetes"	"[Fimbriimonadaceae]"	0.484441591918402	0.840881369701895	0.531901952214452	0.874065662161736	-3.87390510950503	-3.46214979598504	-4.25679869915254	-1.10995197348422	4.80353948609921	-0.220156074381122	0.389755059035045
"Finegoldia"	"Firmicutes"	"[Tissierellaceae]"	0.417957823586779	0.815692041879485	0.451195852758353	0.84273744591342	-3.63861355151044	-3.03854132584471	-4.18599363059421	-1.71454015319927	4.90644129230594	-0.306528127784893	0.372767913627697
"Flavobacterium"	"Bacteroidetes"	"Flavobacteriaceae"	0.0826786523687954	0.693727882042125	0.0660402097902098	0.73054507767215	8.60319405535986	7.81989729203055	9.65316358228682	1.68154905403424	1.97037852289812	0.751828627488244	0.211581470430108
"Flavobacterium"	"Bacteroidetes"	"Flavobacteriaceae"	0.0826786523687954	0.693727882042125	0.0660402097902098	0.73054507767215	8.60319405535986	7.81989729203055	9.65316358228682	1.68154905403424	1.97037852289812	0.751828627488244	0.211581470430108
"Flectobacillus"	"Bacteroidetes"	"Cytophagaceae"	0.0549789615759714	0.681494574743	0.0659940753690754	0.726974163743784	4.67522692005597	4.10388406613429	6.11259600031097	2.78014515074566	4.28595403641209	0.597935457731613	0.202672795927795
"Fluviicola"	"Bacteroidetes"	"Cryomorphaceae"	0.326079710396635	0.803066031340071	0.475378787878788	0.886033594648551	6.60315666263105	5.50000228890093	6.77858991009747	1.72224990483142	7.1714655874414	0.260269839676846	0.383073547787693
