"sample_id"	"feature_id"	"reads"	"Phylum"	"Family"	"Genus"	"tissue"	"bacteria"
"432(-)_W_t0B"	"f28a2d388b3e3cd7b6defff23e5585f6"	44	"Proteobacteria"	"Pseudomonadaceae"	"Pseudomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"01f8d539f643b442231cfa3b378db683"	8	"Proteobacteria"	"Rhodobacteraceae"	"Rhodobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"4afaeb2cc5a03e310c7876034bbf6ee0"	395	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"c4ce854efbcdc8eb7305e3ea2c8e2251"	23	"Proteobacteria"	"Bradyrhizobiaceae"	"Bradyrhizobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"fc0f4fd437dc8462f45e4ba5675530db"	9	"Bacteroidetes"	"[Weeksellaceae]"	"Chryseobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"287b67acd55d2385cc1eea6fa0f2d755"	14	"Proteobacteria"	"Xanthomonadaceae"	"Rhodanobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"0fc633790560df1cfae7366f52161522"	14	"Bacteroidetes"	"[Weeksellaceae]"	"Chryseobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"497d2a10b14f5491395bc269b97c7644"	84	"Firmicutes"	"Aerococcaceae"	"Alloiococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"e83a3788d3b80f4bd452ff12c28a4ef4"	470	"Firmicutes"	"Bacillaceae"	"Bacillus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"8e65effc8c0490480914fb2a5ef91bbb"	14	"Proteobacteria"	"Rhizobiaceae"	"Rhizobium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"73b09466672f486631241de9e9ba8ef4"	23	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"826f2fe1288a9adaf3c5dacf7f232d8b"	27	"Proteobacteria"	"Oxalobacteraceae"	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"d97a643e742e6ee19fd010e55c5cac01"	99	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"b803835493c767ccc13a4a4a10bd5c8e"	13	"Proteobacteria"	"Neisseriaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"4476bfce011a97a530a18c4c0b4ddb38"	10	"Proteobacteria"	""	""	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"3696b7755edea108994a71783686415b"	5	"Proteobacteria"	"Xanthomonadaceae"	"Stenotrophomonas"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"5f8d82b4b59b98813cc39945607faf67"	9	"Firmicutes"	"[Tissierellaceae]"	"Peptoniphilus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"5dc0969e85902503262faa9fe84844a9"	12	"Proteobacteria"	"Rhodospirillaceae"	"Inquilinus"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"757fce18d4e9449ff897e210f6f30681"	18	"Proteobacteria"	"Xanthomonadaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"f915c3b1ceaf78a4d8a993ee65116497"	17	"Proteobacteria"	"Caulobacteraceae"	"Caulobacter"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"04a253a78bcb9530dc52df53b09f995b"	6	"Firmicutes"	"[Tissierellaceae]"	"Finegoldia"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"9c710b8ab937e96c7949b5008c10e205"	92	"Proteobacteria"	"Comamonadaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"db602fb92249cd25c89be0713d9a14fc"	5	"Actinobacteria"	"Glycomycetaceae"	"Glycomyces"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"229c1a1090ff4c383c0e16bd59cc16ee"	11	"Proteobacteria"	"Oxalobacteraceae"	"Janthinobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"4af7cd8759aa8aca552b13160140b101"	67	"Proteobacteria"	"Comamonadaceae"	NA	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"416b7d2453a4872f793475b43aa59a4a"	15	"Proteobacteria"	"Rhizobiaceae"	"Agrobacterium"	"S_polyrhiza432_9509"	"none"
"432(-)_W_t0B"	"cd570c787d58402daf4e719805569240"	8	"Proteobacteria"	"Halomonadaceae"	"Halomonas"	"S_polyrhiza432_9509"	"none"
