	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_432_DAM_B_H_2	0.9392605633802817	0.9723476297968398	0.964987714987715	0.7032967032967034	0.7753164556962026	0.6014760147601476	0.8116883116883117	0.8205128205128205	0.6813559322033899	0.7790697674418605	0.0	0.7162162162162162	0.8039867109634552	0.8047138047138047	0.7951482479784366	0.8437001594896332	0.8726708074534162	0.8910133843212237	0.9010989010989011	0.9484304932735426	0.9407616361071932	0.8888888888888888	0.8108974358974359	0.8083067092651757	0.7918918918918919	0.9438029253271748	0.9325481798715204	0.93984375	0.9609375	0.9451269451269452
T10_432_DAM_B_I_2	0.9584837545126353	0.9821736630247269	0.9761904761904762	0.7782258064516129	0.8648648648648649	0.7622641509433963	0.8333333333333334	0.8439490445859873	0.779783393501805	0.8214285714285714	0.7162162162162162	0.0	0.8426966292134831	0.8484848484848485	0.8587896253602305	0.8932676518883416	0.9042207792207793	0.8979166666666667	0.9254966887417219	0.9613583138173302	0.9583333333333334	0.8539823008849557	0.8652482269503546	0.8621908127208481	0.8620689655172413	0.96066089693155	0.9477196885428254	0.9593625498007968	0.9723435225618632	0.961376994122586
T10_432_DAM_B_K_2	0.9046345811051694	0.9646464646464646	0.9572910311165345	0.7687296416938111	0.6869009584664537	0.7750759878419453	0.6267605633802817	0.6925373134328359	0.7671641791044777	0.6547619047619048	0.8039867109634552	0.8426966292134831	0.0	0.6560283687943262	0.6952908587257618	0.8668683812405447	0.8653555219364599	0.8625235404896422	0.8705148205928237	0.9451754385964912	0.9368998628257887	0.8561643835616438	0.8313609467455622	0.8149253731343283	0.8165829145728644	0.9161490683229814	0.8974082073434125	0.9030976965845909	0.9453900709219858	0.9545816733067729
T10_432_DAM_B_L_2	0.9090909090909091	0.9680314077397645	0.9616087751371115	0.788961038961039	0.7232704402515723	0.7865853658536586	0.6101083032490975	0.6383647798742138	0.7598784194528876	0.6477732793522267	0.8047138047138047	0.8484848484848485	0.6560283687943262	0.0	0.6836158192090396	0.8828828828828829	0.8796992481203008	0.865530303030303	0.8641390205371248	0.9483516483516483	0.9452054794520548	0.8536585365853658	0.8392857142857143	0.7975460122699386	0.8051282051282052	0.9149765990639626	0.8968512486427795	0.8983186549239391	0.9466950959488273	0.9552358113509193
T10_432_DAM_BJ_2	0.8856900931414056	0.9612903225806452	0.9539895165987187	0.7795275590551181	0.6128133704735376	0.775	0.6601123595505618	0.6607142857142857	0.7405541561712846	0.6561514195583596	0.7951482479784366	0.8587896253602305	0.6952908587257618	0.6836158192090396	0.0	0.8687415426251691	0.8780160857908847	0.8634868421052632	0.8609550561797753	0.9306829765545361	0.9318463444857497	0.871313672922252	0.8039702233250621	0.7777777777777778	0.7763157894736842	0.8899700598802395	0.8739837398373984	0.8802440884820748	0.9357674104124408	0.9433534743202417
T10_432_DAM_W_A_C_2	0.7951625094482238	0.8695652173913043	0.8635616438356164	0.8317610062893082	0.8588235294117647	0.7981220657276995	0.8595166163141994	0.8721910112359551	0.7993827160493827	0.9	0.8437001594896332	0.8932676518883416	0.8668683812405447	0.8828828828828829	0.8687415426251691	0.0	0.633578431372549	0.748062015503876	0.7395833333333334	0.8235815602836879	0.8247422680412371	0.932824427480916	0.892128279883382	0.8988439306358381	0.8823529411764706	0.8004087193460491	0.7788546255506608	0.8	0.8395989974937343	0.7961234745154343
T10_432_DAM_W_D_F_2	0.8034508627156789	0.8776649746192894	0.865500273373428	0.8375	0.8820143884892087	0.8330804248861912	0.8493150684931506	0.8547008547008547	0.7922480620155039	0.8984375	0.8726708074534162	0.9042207792207793	0.8653555219364599	0.8796992481203008	0.8780160857908847	0.633578431372549	0.0	0.7690355329949239	0.748564867967853	0.840174672489083	0.836901121304791	0.9441930618401206	0.8986975397973951	0.8942028985507247	0.889920424403183	0.816655473472129	0.7928633594429939	0.8066939890710383	0.8454828660436137	0.8082386363636364
T10_432_DAM_W_G_I_2	0.8286176232821342	0.8795442213781878	0.8612750885478159	0.8925925925925926	0.863063063063063	0.8652094717668488	0.8512241054613936	0.8556521739130435	0.8696428571428572	0.8729838709677419	0.8910133843212237	0.8979166666666667	0.8625235404896422	0.865530303030303	0.8634868421052632	0.748062015503876	0.7690355329949239	0.0	0.6456241032998565	0.8144433299899699	0.8140643623361145	0.9263565891472868	0.895870736086176	0.8862815884476535	0.8818770226537217	0.8357348703170029	0.8021235521235521	0.8381712626995645	0.8747528015820699	0.8677014042867701
T10_432_DAM_W_J_L_2	0.8022900763358779	0.8542212899842685	0.8338076266363119	0.8902627511591963	0.8723723723723724	0.8621745788667687	0.8575899843505478	0.8525073746312685	0.8659638554216867	0.8887070376432079	0.9010989010989011	0.9254966887417219	0.8705148205928237	0.8641390205371248	0.8609550561797753	0.7395833333333334	0.748564867967853	0.6456241032998565	0.0	0.8	0.7945945945945946	0.940251572327044	0.8863636363636364	0.8833333333333333	0.8736111111111111	0.8158253751705321	0.7826475849731663	0.8106427090532136	0.8509433962264151	0.8431372549019608
T10_W_A_C_2	0.7631759069130732	0.7768803634528016	0.7743837084673098	0.9540481400437637	0.9284940411700975	0.9325353645266594	0.9466811751904244	0.9438669438669439	0.9412393162393162	0.9555808656036446	0.9484304932735426	0.9613583138173302	0.9451754385964912	0.9483516483516483	0.9306829765545361	0.8235815602836879	0.840174672489083	0.8144433299899699	0.8	0.0	0.6748285994123409	0.9541284403669725	0.9331140350877193	0.9238410596026491	0.9174406604747162	0.7777089783281734	0.7478465152701644	0.7725563909774437	0.7393162393162394	0.7458526874585268
