	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_432_DAM_B_H_2	0.7669425925638534	0.8582838484673707	0.8421673343456495	0.357109603066179	0.4275424331251103	0.36782368294479983	0.4611210419499832	0.4442012065081156	0.4125200421521442	0.3034922084465181	0.0	0.4106230521157609	0.47867985113095957	0.38989406573788576	0.3979768131691621	0.6819239116504744	0.7048114031022572	0.6228553483157495	0.6682138528945197	0.7714551333284027	0.7417399587567105	0.5192860649408055	0.4669929748293909	0.47497220256070477	0.47221445616157987	0.7857466478375377	0.7581662362110597	0.7940578639742794	0.8219021998296941	0.8246829105761423
T10_432_DAM_B_I_2	0.7926621998579195	0.8672529059328569	0.8506147702885275	0.48346298214892164	0.47988910870244145	0.39557170403583003	0.5113112978491854	0.48347695641733374	0.4747091322729805	0.4301252418472227	0.4106230521157609	0.0	0.43436435266905904	0.45630369071055144	0.4966769346338508	0.7011841383875261	0.7121434100866697	0.6311093121827794	0.7027949410658445	0.7679762799422039	0.7332307745506534	0.4132726106440224	0.48189301032548876	0.47719028275259273	0.5167227986822406	0.8095754449258271	0.7655644662038025	0.8086617914623602	0.8292471994889177	0.8269241087344456
T10_432_DAM_B_K_2	0.773231916451418	0.8490531204162634	0.8335034494156878	0.4303659057215843	0.4325199763940323	0.41705640873095046	0.4257124876895191	0.37384080641000683	0.3749182633836909	0.43962045503269054	0.47867985113095957	0.43436435266905904	0.0	0.4249144278481721	0.45946766231162217	0.6608429434933774	0.6671868334034898	0.6030862893134237	0.6639272406489921	0.7532303794938702	0.7263544658686407	0.5244148991443431	0.50935155095951	0.49434798507095445	0.48196991604417405	0.7845441590469857	0.7437292657845749	0.7771056203098041	0.810792825221226	0.801459612203158
T10_432_DAM_B_L_2	0.7827974402534711	0.8515196412161978	0.8392998709543499	0.3388097576647947	0.38702511248010485	0.4397837401885725	0.3632625470941964	0.33712245281727976	0.37668942435944913	0.3620416823758889	0.38989406573788576	0.45630369071055144	0.4249144278481721	0.0	0.43361203981245716	0.6841666169956275	0.696434132932129	0.6226078848716908	0.6720239483621682	0.7704143208530994	0.7414304002170786	0.5180441235578074	0.43479081846634277	0.43949613290259804	0.465954969296685	0.7954826691007644	0.75693522428771	0.7957308986514955	0.8200244790411523	0.8163867455534097
T10_432_DAM_BJ_2	0.7572639557706987	0.8442221961311028	0.8343199101994055	0.4135509961193736	0.3986735726064422	0.4774906663917832	0.44771447022958594	0.393317658972188	0.4450497390168545	0.3904512422402827	0.3979768131691621	0.4966769346338508	0.45946766231162217	0.43361203981245716	0.0	0.6627011623475579	0.6722305438447522	0.6145667061647575	0.6616361845614523	0.7566037279440494	0.7276013082911504	0.5283641229157624	0.4791945568603528	0.4969420122716933	0.49469888632835723	0.7699743245945422	0.7369840569271054	0.7746492544658682	0.8067588466781976	0.8031704286498755
T10_432_DAM_W_A_C_2	0.4101069787772647	0.6106487569406112	0.583051895855084	0.7072577747373893	0.655814047751012	0.6670981560762957	0.6657099792388922	0.6465533829594352	0.6820845684704854	0.7326146529234807	0.6819239116504744	0.7011841383875261	0.6608429434933774	0.6841666169956275	0.6627011623475579	0.0	0.313807861575161	0.3515059298570527	0.33331241172385384	0.4138849750637769	0.4170363583045794	0.7108427788719227	0.6800766982019838	0.6995634238608779	0.6536184431548386	0.43117001194563764	0.39717669656612564	0.45810004922723885	0.5046991353235696	0.5032993693052795
T10_432_DAM_W_D_F_2	0.44073891913183993	0.6140406416228282	0.5943716910942443	0.6989439102568464	0.6674234099165268	0.6837134120007002	0.6664209106927538	0.6486915693226218	0.6739738110742871	0.7353458956941006	0.7048114031022572	0.7121434100866697	0.6671868334034898	0.696434132932129	0.6722305438447522	0.313807861575161	0.0	0.3541306301634719	0.35921204034093207	0.4434202040793576	0.4545708106820287	0.7228594394724203	0.6747432854385574	0.6931330558211933	0.6742160800683156	0.459670650348782	0.44539839799383674	0.4608681427287786	0.5223018076398885	0.49922414837307855
T10_432_DAM_W_G_I_2	0.5226278665836069	0.6864245122539505	0.6651245502189579	0.6392306239142872	0.6019541752076949	0.6091889880228444	0.6128048502221949	0.596243720972505	0.6111772050774942	0.6687204137610749	0.6228553483157495	0.6311093121827794	0.6030862893134237	0.6226078848716908	0.6145667061647575	0.3515059298570527	0.3541306301634719	0.0	0.3481901282025185	0.4906956751938427	0.4547803601049552	0.6595794737803349	0.6134640654075822	0.6290800074698586	0.6223569733870122	0.5512026813806914	0.4673237185872686	0.5487773093869878	0.6012726270183871	0.5882268339609441
T10_432_DAM_W_J_L_2	0.4653214110855128	0.6408025924710288	0.6219466523991943	0.6833961699841928	0.6595228698747853	0.6551201184074736	0.6561429561042061	0.6549687590758397	0.6623589410337284	0.7181339788268033	0.6682138528945197	0.7027949410658445	0.6639272406489921	0.6720239483621682	0.6616361845614523	0.33331241172385384	0.35921204034093207	0.3481901282025185	0.0	0.4727693248337277	0.4640737557297655	0.7104785792660594	0.6646398124943843	0.6719400994807255	0.653252033604735	0.4831835266562154	0.45063807288105673	0.5013568391589871	0.552699310677671	0.5372015599049623
T10_W_A_C_2	0.35748154671737076	0.520356200787424	0.4963613225327908	0.7833364713248376	0.7453462148833822	0.7589929387045539	0.758308709148818	0.7423204157770644	0.7717719406321579	0.8052310986345461	0.7714551333284027	0.7679762799422039	0.7532303794938702	0.7704143208530994	0.7566037279440494	0.4138849750637769	0.4434202040793576	0.4906956751938427	0.4727693248337277	0.0	0.2957841253326727	0.7673849361101527	0.7557809784077157	0.7642775454381975	0.7264180798591648	0.36427058376132876	0.37571591678941	0.3998883165421443	0.37158823150386344	0.3794067377744108
T10_W_D_E_2	0.4360470765200733	0.5813134025656552	0.5539048812548617	0.7639686744130988	0.7066583274260403	0.7288964383747432	0.7245441138057261	0.7034519353363862	0.7403630974794988	0.7776378796296379	0.7417399587567105	0.7332307745506534	0.7263544658686407	0.7414304002170786	0.7276013082911504	0.4170363583045794	0.4545708106820287	0.4547803601049552	0.4640737557297655	0.2957841253326727	0.0	0.7319299573938488	0.7211095762085464	0.7356639077078433	0.7046470873725371	0.4359706589356669	0.411675700167132	0.4541801224048347	0.4506869938004794	0.4585173890183722
T5_432_DAM_B_H_2	0.7921575568266392	0.8549458126520387	0.8428876395109464	0.5197800196480573	0.5336211620720553	0.5476431076712808	0.5485266323761718	0.5341509531901895	0.5379296392152847	0.5437085441471217	0.5192860649408055	0.4132726106440224	0.5244148991443431	0.5180441235578074	0.5283641229157624	0.7108427788719227	0.7228594394724203	0.6595794737803349	0.7104785792660594	0.7673849361101527	0.7319299573938488	0.0	0.4998353924195152	0.5373741401844043	0.5674834367239541	0.8053461908012091	0.7618468249531082	0.809126885974777	0.8186149923830607	0.8163523740772505
