	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_432_DAM_B_H_2	0.43590531409931565	0.5435766142581333	0.5530160940510045	0.3227180261398044	0.13113774408201784	0.2160770609275467	0.19568872346230215	0.1622890493201688	0.1942006937135379	0.15074164510240887	0.0	0.2379978116393067	0.20525836601865768	0.19698320086215107	0.14686848907967098	0.44900419482193776	0.3716169253735823	0.279121925952551	0.33920143283471105	0.5221916611392089	0.7284136755219821	0.32124805698994674	0.3241025050796266	0.17999368097941315	0.19555568024934222	0.5680497999009778	0.3012654349581865	0.37901340846402676	0.61369321702664	0.6315424226136799
T10_432_DAM_B_I_2	0.6074242813212535	0.6741159229327289	0.6760329021511469	0.4310894246875022	0.3048932482381957	0.2182791595122756	0.15923341005741348	0.27484926815158234	0.2906230010829424	0.15060096190619565	0.2379978116393067	0.0	0.19152799128233797	0.1830571794443912	0.18526686739176018	0.5727841397604267	0.47666118383324463	0.2633015603497424	0.41217315594937787	0.5491808414612002	0.70551923035416	0.48716726276941347	0.3338886819262577	0.34522876380298684	0.3381897490015378	0.7218628269371556	0.442499828213049	0.5429532339424801	0.768838797485218	0.7870297752450399
T10_432_DAM_B_K_2	0.5485044535466844	0.5981684561535198	0.6025921779676533	0.3169269000651465	0.25699874017516444	0.17126320658389346	0.12025515639854228	0.18184985824407107	0.24800197909971552	0.12473567833914656	0.20525836601865768	0.19152799128233797	0.0	0.08798863875216878	0.10145044887902223	0.488520190857271	0.4222527348372889	0.26375935664601774	0.34611607069603545	0.4939186182817065	0.6930040404565867	0.4581545944225066	0.3741053166309245	0.3386366199447378	0.3391525981547554	0.6603177771696799	0.38428150395913774	0.4869875122828977	0.7020650894573865	0.7265427279947376
T10_432_DAM_B_L_2	0.5315993412328623	0.5946167947598043	0.6084354545334579	0.33007410838618656	0.21186109588381336	0.15495599314056002	0.10069315411520882	0.1426306102336623	0.17880373110418674	0.11613981263604443	0.19698320086215107	0.1830571794443912	0.08798863875216878	0.0	0.07967929904873786	0.48458401124824885	0.392230084739449	0.21608863386520893	0.3260169188610044	0.5049243846004178	0.7156079643000799	0.47315265854342226	0.3908223349087467	0.350337766682969	0.3421891544374666	0.6477292334892978	0.368456612659609	0.4788692871715289	0.713535321082569	0.7391732860883822
T10_432_DAM_BJ_2	0.49133903010211555	0.5698448468091288	0.5850399887291111	0.32783895845229316	0.17732159228467553	0.11921110558334236	0.1008638059718578	0.1380635651271111	0.19844076445148445	0.0929558501111112	0.14686848907967098	0.18526686739176018	0.10145044887902223	0.07967929904873786	0.0	0.47898003079828433	0.40729174202175117	0.23427496404580445	0.3313409552660799	0.46439920754698677	0.6771948819655111	0.4205219659011377	0.33502094560356455	0.28783469963472896	0.2837768507579021	0.6024747838730933	0.33013155400331556	0.4379314276583821	0.6622486504488176	0.6866209416003731
T10_432_DAM_W_A_C_2	0.2840748317714221	0.34257071038286224	0.37476910156110216	0.24349033904668452	0.4091366003568799	0.515942581718231	0.47470048212934207	0.4310728824525065	0.3826507794458399	0.48950118554552	0.44900419482193776	0.5727841397604267	0.488520190857271	0.48458401124824885	0.47898003079828433	0.0	0.1339425588439821	0.4066632807608532	0.37252191040936	0.6153103843276888	0.8458499049481688	0.40716305641780437	0.72115502077216	0.5834009259595733	0.6030542058859467	0.2602254024073422	0.44688448313777773	0.3031468306173599	0.32370623618456007	0.36418276327844434
T10_432_DAM_W_D_F_2	0.2673847549814845	0.34171737593966245	0.37230971739075563	0.2446988690883909	0.3347851989000445	0.45402502740671125	0.3779052000713512	0.36049180171727113	0.29130828387154667	0.405747215587849	0.3716169253735823	0.47666118383324463	0.4222527348372889	0.392230084739449	0.40729174202175117	0.1339425588439821	0.0	0.3277641284651378	0.33837868754240896	0.6254162965943735	0.8463185612070845	0.34180641561323566	0.6450139728343289	0.5111474001911288	0.5240041287323823	0.3185347950958221	0.4238278187623822	0.2600616280927556	0.39200170996603545	0.4281020109116531
T10_432_DAM_W_G_I_2	0.42225045024504	0.5018149131317687	0.5166506252645688	0.48155189822442657	0.26411401219586667	0.25504065071677345	0.20899870140646226	0.25472525801840884	0.2781385136798667	0.2145683567741423	0.279121925952551	0.2633015603497424	0.26375935664601774	0.21608863386520893	0.23427496404580445	0.4066632807608532	0.3277641284651378	0.0	0.23381144400777765	0.4384522720774312	0.6571007855852	0.49126858433366216	0.4439725318341156	0.3805857588729601	0.3719316038522933	0.5299619603747909	0.2515051376651911	0.37576138854313773	0.6152507061251288	0.6465993089833154
T10_432_DAM_W_J_L_2	0.4253682520951112	0.45008471315126214	0.43294998713808897	0.5196881602394755	0.35047987368378675	0.3799204288060267	0.30951188603185764	0.3202192054308801	0.3561758946498311	0.3320501413298844	0.33920143283471105	0.41217315594937787	0.34611607069603545	0.3260169188610044	0.3313409552660799	0.37252191040936	0.33837868754240896	0.23381144400777765	0.0	0.3843104336171378	0.6331420545043022	0.5374165007371378	0.5279924198350666	0.41970376516568014	0.4124550676880889	0.5038912539308533	0.29818759829599123	0.3599553346508089	0.5626486321320712	0.6068482377706488
T10_W_A_C_2	0.5218653003471467	0.5168626642344266	0.4951305819083823	0.7259451005215556	0.5519917314539555	0.5017170775143645	0.4929427008414755	0.53835412056272	0.5959291285914312	0.4788916917904	0.5221916611392089	0.5491808414612002	0.4939186182817065	0.5049243846004178	0.46439920754698677	0.6153103843276888	0.6254162965943735	0.4384522720774312	0.3843104336171378	0.0	0.31701296519493327	0.6536062210415466	0.5596656129856622	0.5374591624452001	0.52399757991632	0.5874580508987466	0.40647648844504014	0.49141738821861336	0.4605541196520534	0.4712042062135821
