	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
T10_432_DAM_B_H_2	0.7843911111111112	0.9626755555555555	0.9613422222222222	0.5495555555555556	0.5193066666666667	0.4074844444444444	0.5405511111111111	0.5713422222222222	0.4507111111111111	0.5026488888888889	0.0	0.8677066666666666	0.5686844444444444	0.5732266666666667	0.45339555555555555	0.7126311111111111	0.7770488888888889	0.8017333333333333	0.8010844444444445	0.9285244444444445	0.9092533333333334	0.8860444444444444	0.6907288888888888	0.5866844444444445	0.6159377777777778	0.7859644444444445	0.8034755555555556	0.7907911111111111	0.9249333333333334	0.8904622222222223
T10_432_DAM_B_I_2	0.8863555555555556	0.9788355555555556	0.9762488888888889	0.5888888888888889	0.8599822222222222	0.8274222222222222	0.83584	0.8635288888888889	0.7453955555555556	0.8722044444444444	0.8677066666666666	0.0	0.9111644444444444	0.8807733333333333	0.84528	0.8950311111111111	0.8233155555555556	0.6699111111111111	0.8460888888888889	0.9695111111111111	0.9702577777777778	0.9233422222222222	0.9322577777777777	0.8833244444444445	0.8848	0.9032088888888888	0.8836711111111111	0.8509955555555555	0.9561866666666666	0.9644088888888889
T10_432_DAM_B_K_2	0.84872	0.9748355555555556	0.9721066666666667	0.5615022222222222	0.5327822222222223	0.5160088888888889	0.41414222222222224	0.41242666666666666	0.5359911111111111	0.46128	0.5686844444444444	0.9111644444444444	0.0	0.22386666666666666	0.43393777777777776	0.7172711111111111	0.7530044444444445	0.7664088888888889	0.7247022222222222	0.9699288888888888	0.9770488888888889	0.93216	0.9257155555555555	0.8633155555555555	0.8863377777777778	0.8468533333333333	0.8634133333333334	0.8463911111111111	0.9615022222222223	0.9667022222222222
T10_432_DAM_B_L_2	0.84568	0.9713244444444444	0.9696977777777778	0.57016	0.5154488888888888	0.5029777777777777	0.37391111111111114	0.33837333333333336	0.42050666666666664	0.43751111111111113	0.5732266666666667	0.8807733333333333	0.22386666666666666	0.0	0.4019466666666667	0.7205333333333334	0.7075377777777778	0.7316	0.7014755555555555	0.9783822222222223	0.9777777777777777	0.9396977777777777	0.9032266666666666	0.83928	0.8588444444444444	0.83048	0.86584	0.8084622222222222	0.9628	0.9660711111111111
T10_432_DAM_BJ_2	0.7879555555555555	0.9689511111111111	0.9630133333333334	0.5100444444444444	0.36563555555555555	0.4103911111111111	0.3367111111111111	0.2949866666666667	0.4213955555555556	0.34141333333333335	0.45339555555555555	0.84528	0.43393777777777776	0.4019466666666667	0.0	0.70928	0.7609066666666666	0.7460444444444444	0.7502488888888889	0.9524711111111112	0.9363288888888889	0.9028977777777778	0.7688977777777778	0.7059555555555556	0.7206755555555555	0.7714933333333334	0.8061866666666667	0.7780355555555556	0.9370222222222222	0.9338666666666666
T10_432_DAM_W_A_C_2	0.7609688888888889	0.8555466666666667	0.8569777777777777	0.6225066666666667	0.72552	0.6661066666666666	0.6869955555555556	0.7027466666666666	0.6662044444444445	0.7378222222222223	0.7126311111111111	0.8950311111111111	0.7172711111111111	0.7205333333333334	0.70928	0.0	0.32324444444444445	0.562	0.5323022222222222	0.8976088888888889	0.9252266666666666	0.9384	0.9172266666666666	0.8576533333333334	0.8728355555555556	0.7249333333333333	0.7795111111111112	0.7217066666666667	0.8725955555555556	0.8569955555555555
T10_432_DAM_W_D_F_2	0.8014133333333333	0.87856	0.8785244444444444	0.6877866666666667	0.7701866666666667	0.73104	0.6521244444444444	0.6988622222222223	0.6445688888888889	0.7650044444444445	0.7770488888888889	0.8233155555555556	0.7530044444444445	0.7075377777777778	0.7609066666666666	0.32324444444444445	0.0	0.5202666666666667	0.4518488888888889	0.9274133333333333	0.9458933333333334	0.9528355555555555	0.9344622222222222	0.8677866666666667	0.8825155555555556	0.7708	0.8224444444444444	0.7018755555555556	0.8923466666666666	0.8716355555555556
T10_432_DAM_W_G_I_2	0.7525066666666667	0.8735555555555555	0.8703733333333333	0.7195822222222222	0.74336	0.7518577777777777	0.6925955555555555	0.7246666666666667	0.7049511111111111	0.7607911111111111	0.8017333333333333	0.6699111111111111	0.7664088888888889	0.7316	0.7460444444444444	0.562	0.5202666666666667	0.0	0.47987555555555556	0.8990577777777777	0.9256711111111111	0.9079733333333333	0.9430222222222222	0.8603644444444445	0.8876533333333333	0.7378844444444445	0.75808	0.6980977777777778	0.8856622222222222	0.9011911111111112
T10_432_DAM_W_J_L_2	0.7960266666666667	0.8526222222222222	0.8519466666666666	0.7230044444444444	0.7653155555555555	0.7747822222222223	0.6697955555555556	0.7027555555555556	0.6940888888888889	0.7498933333333333	0.8010844444444445	0.8460888888888889	0.7247022222222222	0.7014755555555555	0.7502488888888889	0.5323022222222222	0.4518488888888889	0.47987555555555556	0.0	0.8853955555555556	0.9103377777777778	0.9374311111111111	0.9280444444444444	0.85408	0.87952	0.7688533333333334	0.7970488888888889	0.6996444444444444	0.8777155555555556	0.8848266666666667
T10_W_A_C_2	0.7704533333333333	0.7873511111111111	0.7960266666666667	0.9648355555555556	0.9492177777777778	0.9585422222222222	0.9658577777777778	0.9614577777777777	0.9583555555555555	0.9658488888888889	0.9285244444444445	0.9695111111111111	0.9699288888888888	0.9783822222222223	0.9524711111111112	0.8976088888888889	0.9274133333333333	0.8990577777777777	0.8853955555555556	0.0	0.3277333333333333	0.9328888888888889	0.9423733333333333	0.9326577777777778	0.9223733333333334	0.7481422222222223	0.8014933333333333	0.7923377777777778	0.5162311111111111	0.52272
