sample_id	tissue	bacteria	type	treatment	time	plate	library	notes
T5_432_DAM_B_H_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_B_I_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_B_J_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 05 days
T5_432_DAM_B_L_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 05 days
T10_432_DAM_B_A_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_B_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_C_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_D_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_E_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_F_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_G_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_H_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_I_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_BJ_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_K_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_L_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509; 10 days
