sample_id	paired_type	location	study	host	tissue
B-2-plant	plant	Arbuckle	edwards_et_al	rice	root
B-3-plant	plant	Arbuckle	edwards_et_al	rice	root
B-4-plant	plant	Arbuckle	edwards_et_al	rice	root
B-5-plant	plant	Davis	edwards_et_al	rice	root
B-8-plant	plant	Davis	edwards_et_al	rice	root
B-9-plant	plant	Sacramento	edwards_et_al	rice	root
BB P1-6.1-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.2-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.3-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.4-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.5-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.6-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.7-plant	plant	BB P1	edwards_et_al	rice	root
BB P1-6.8-plant	plant	BB P1	edwards_et_al	rice	root
BB P4-7.1-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.2-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.3-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.4-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.5-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.6-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.7-plant	plant	BB P4	edwards_et_al	rice	root
BB P4-7.8-plant	plant	BB P4	edwards_et_al	rice	root
Ditaler 18-1.1-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.2-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.3-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.4-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.5-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.6-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.7-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 18-1.8-plant	plant	Ditaler 18	edwards_et_al	rice	root
Ditaler 19-2.1-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.2-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.3-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.4-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.5-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.6-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.7-plant	plant	Ditaler 19	edwards_et_al	rice	root
Ditaler 19-2.8-plant	plant	Ditaler 19	edwards_et_al	rice	root
DS RR-5.1-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.2-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.3-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.4-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.5-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.6-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.7-plant	plant	DS RR	edwards_et_al	rice	root
DS RR-5.8-plant	plant	DS RR	edwards_et_al	rice	root
E-1-plant	plant	Arbuckle	edwards_et_al	rice	root
E-11-plant	plant	Sacramento	edwards_et_al	rice	root
E-12-plant	plant	Sacramento	edwards_et_al	rice	root
E-2-plant	plant	Arbuckle	edwards_et_al	rice	root
E-3-plant	plant	Arbuckle	edwards_et_al	rice	root
E-4-plant	plant	Arbuckle	edwards_et_al	rice	root
E-5-plant	plant	Davis	edwards_et_al	rice	root
E-8-plant	plant	Davis	edwards_et_al	rice	root
E-9-plant	plant	Sacramento	edwards_et_al	rice	root
I-1-plant	plant	Arbuckle	edwards_et_al	rice	root
I-10-plant	plant	Sacramento	edwards_et_al	rice	root
I-12-plant	plant	Sacramento	edwards_et_al	rice	root
I-2-plant	plant	Arbuckle	edwards_et_al	rice	root
I-4-plant	plant	Arbuckle	edwards_et_al	rice	root
I-5-plant	plant	Davis	edwards_et_al	rice	root
I-6-plant	plant	Davis	edwards_et_al	rice	root
I-7-plant	plant	Davis	edwards_et_al	rice	root
I-8-plant	plant	Davis	edwards_et_al	rice	root
I-9-plant	plant	Sacramento	edwards_et_al	rice	root
M-1-plant	plant	Arbuckle	edwards_et_al	rice	root
M-10-plant	plant	Sacramento	edwards_et_al	rice	root
M-11-plant	plant	Sacramento	edwards_et_al	rice	root
M-12-plant	plant	Sacramento	edwards_et_al	rice	root
M-2-plant	plant	Arbuckle	edwards_et_al	rice	root
M-3-plant	plant	Arbuckle	edwards_et_al	rice	root
M-4-plant	plant	Arbuckle	edwards_et_al	rice	root
M-5-plant	plant	Davis	edwards_et_al	rice	root
M-7-plant	plant	Davis	edwards_et_al	rice	root
M-8-plant	plant	Davis	edwards_et_al	rice	root
M-9-plant	plant	Sacramento	edwards_et_al	rice	root
N-1-plant	plant	Arbuckle	edwards_et_al	rice	root
N-10-plant	plant	Sacramento	edwards_et_al	rice	root
N-11-plant	plant	Sacramento	edwards_et_al	rice	root
N-12-plant	plant	Sacramento	edwards_et_al	rice	root
N-2-plant	plant	Arbuckle	edwards_et_al	rice	root
N-3-plant	plant	Arbuckle	edwards_et_al	rice	root
N-4-plant	plant	Arbuckle	edwards_et_al	rice	root
N-5-plant	plant	Davis	edwards_et_al	rice	root
N-7-plant	plant	Davis	edwards_et_al	rice	root
N-8-plant	plant	Davis	edwards_et_al	rice	root
N-9-plant	plant	Sacramento	edwards_et_al	rice	root
Scheidec-8.1-plant	plant	Scheidec	edwards_et_al	rice	root
Scheidec-8.2-plant	plant	Scheidec	edwards_et_al	rice	root
Scheidec-8.3-plant	plant	Scheidec	edwards_et_al	rice	root
Scheidec-8.4-plant	plant	Scheidec	edwards_et_al	rice	root
Scheidec-8.5-plant	plant	Scheidec	edwards_et_al	rice	root
Scheidec-8.7-plant	plant	Scheidec	edwards_et_al	rice	root
Scheidec-8.8-plant	plant	Scheidec	edwards_et_al	rice	root
SFT 20 A-4.1-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.2-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.3-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.4-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.5-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.6-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.7-plant	plant	SFT 20 A	edwards_et_al	rice	root
SFT 20 A-4.8-plant	plant	SFT 20 A	edwards_et_al	rice	root
Spooner Airstrip-3.1-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.2-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.3-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.4-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.5-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.6-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.7-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
Spooner Airstrip-3.8-plant	plant	Spooner Airstrip	edwards_et_al	rice	root
9-6-plant	plant	Davis	edwards_et_al	rice	root
B-7-plant	plant	Davis	edwards_et_al	rice	root
BB_-7.1-plant	plant	BB_	edwards_et_al	rice	root
E-10-plant	plant	Sacramento	edwards_et_al	rice	root
E-7-plant	plant	Davis	edwards_et_al	rice	root
I-11-plant	plant	Sacramento	edwards_et_al	rice	root
M-6-plant	plant	Davis	edwards_et_al	rice	root
N-6-plant	plant	Davis	edwards_et_al	rice	root
B-6-plant	plant	Davis	edwards_et_al	rice	root
E-6-plant	plant	Davis	edwards_et_al	rice	root
I-3-plant	plant	Arbuckle	edwards_et_al	rice	root
Scheidec-8.6-plant	plant	Scheidec	edwards_et_al	rice	root
AS1	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	leaf_like
AS2	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	leaf_like
AS3	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	leaf_like
AS4	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	leaf_like
AS5	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	leaf_like
AS6	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	leaf_like
AS7	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	leaf_like
AS8	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	leaf_like
AS9	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	leaf_like
AW1	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	leaf_like
AW2	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	leaf_like
AW3	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	leaf_like
AW4	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	leaf_like
AW5	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	leaf_like
AW6	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	leaf_like
AW7	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	leaf_like
AW8	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	leaf_like
AW9	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	leaf_like
RS1	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	root
RS2	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	root
RS3	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	root
RS4	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	root
RS5	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	root
RS6	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	root
RS7	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	root
RS8	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	root
RS9	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	root
RW1	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	root
RW3	plant	s1.china.guizhou_province.leishan_county	huang_et_al	rice	root
RW4	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	rice	root
RW7	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	root
RW9	plant	s3.china.guizhou_province.liping_county	huang_et_al	rice	root
DS1	plant	s1.china.guizhou_province.leishan_county	huang_et_al	duckweed	leaf_like
DS2	plant	s1.china.guizhou_province.leishan_county	huang_et_al	duckweed	leaf_like
DS3	plant	s1.china.guizhou_province.leishan_county	huang_et_al	duckweed	leaf_like
DS4	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	duckweed	leaf_like
DS5	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	duckweed	leaf_like
DS6	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	duckweed	leaf_like
DS7	plant	s3.china.guizhou_province.liping_county	huang_et_al	duckweed	leaf_like
DS8	plant	s3.china.guizhou_province.liping_county	huang_et_al	duckweed	leaf_like
DS9	plant	s3.china.guizhou_province.liping_county	huang_et_al	duckweed	leaf_like
DW1	plant	s1.china.guizhou_province.leishan_county	huang_et_al	duckweed	leaf_like
DW2	plant	s1.china.guizhou_province.leishan_county	huang_et_al	duckweed	leaf_like
DW3	plant	s1.china.guizhou_province.leishan_county	huang_et_al	duckweed	leaf_like
DW4	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	duckweed	leaf_like
DW5	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	duckweed	leaf_like
DW6	plant	s2.china.guizhou_province.congjiang_county	huang_et_al	duckweed	leaf_like
DW7	plant	s3.china.guizhou_province.liping_county	huang_et_al	duckweed	leaf_like
DW8	plant	s3.china.guizhou_province.liping_county	huang_et_al	duckweed	leaf_like
DW9	plant	s3.china.guizhou_province.liping_county	huang_et_al	duckweed	leaf_like
CH_RS_B	plant	Caldwell_House	ch_pp	duckweed	leaf_like
CH_DT_A	plant	Caldwell_House	ch_pp	duckweed	leaf_like
CH_DT_B	plant	Caldwell_House	ch_pp	duckweed	leaf_like
CH_DT_C	plant	Caldwell_House	ch_pp	duckweed	leaf_like
PP_DT_B	plant	Passion_Puddle	ch_pp	duckweed	leaf_like
PP_CT_D	plant	Passion_Puddle	ch_pp	duckweed	leaf_like
T0_432_B_3_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T5_432_DAM_B_H_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T5_432_DAM_B_I_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T5_432_DAM_B_J_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T5_432_DAM_B_L_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_A_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_B_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_C_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_D_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_E_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_F_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_G_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_H_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_I_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_BJ_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_K_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
T10_432_DAM_B_L_2	plant	princeton_meadows	pm_year1	duckweed	leaf_like
1.1_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.10_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.12_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.13_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.15_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.16_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.18_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.19_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.21_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.22_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.24_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.3_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.4_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.6_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.7_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
1.9_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.1_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.10_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.12_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.13_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.15_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.16_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.18_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
2.19_environment	environment	jk_experimental_station	robbins_et_al	arabidopsis	environment
