	shannon
T10_432_DAM_BJ_2	2.429412900271655
T5_432_DAM_B_H_2	1.6508937128648216
T5_432_DAM_B_I_2	1.5999552900090286
T5_432_DAM_B_J_2	2.09837960038481
T5_432_DAM_B_L_2	2.271020075115606
370(-)_SD_t2A	3.1584533272348354
370(-)_SD_t2B	2.9341062884601654
370(-)_SD_t7C	3.87618552894163
370(-)_W_t0A	4.2848603607500175
370(-)_W_t0B	2.857052079807931
370(-)_W_t2A	3.451694059398333
370(-)_W_t2B	3.023251075054708
370(-)_W_t7C	4.322462760695958
432(-)_W_t0A	3.9175366271622805
432(-)_W_t0B	3.081001841551069
432(-)_SD_t2A	2.5248979646057075
432(-)_SD_t2B	2.3195764126328093
432(-)_SD_t2C	2.9359984298225
432(-)_SD_t7C	4.232214800438609
432(-)_SD_t7D	4.0852529125979515
432(-)_W_t2A	1.9346565335373491
432(-)_W_t2B	2.42246095042449
432(-)_W_t7C	3.8560202656206735
432(-)_W_t7D	3.427016691917542
