"(Intercept) Estimate"	"(Intercept) Std. Error"	"(Intercept) t value"	"(Intercept) Pr(>|t|)"	"model.TISSUEleaf_like Estimate"	"model.TISSUEleaf_like Std. Error"	"model.TISSUEleaf_like t value"	"model.TISSUEleaf_like Pr(>|t|)"	"model.HOSTduckweed Estimate"	"model.HOSTduckweed Std. Error"	"model.HOSTduckweed t value"	"model.HOSTduckweed Pr(>|t|)"	"model.HOSTrice Estimate"	"model.HOSTrice Std. Error"	"model.HOSTrice t value"	"model.HOSTrice Pr(>|t|)"	"(Intercept) Pr(>|t|).BH"	"model.TISSUEleaf_like Pr(>|t|).BH"	"model.HOSTduckweed Pr(>|t|).BH"	"model.HOSTrice Pr(>|t|).BH"
"Acidisphaera"	-1.23327645280437	0.433466410571391	-2.8358967335794	0.0554784965998439	0.426647252889319	0.587678502189461	0.723245583509581	0.401159835852801	-0.0410749828506524	0.703975330052554	-0.0593090102602305	0.548673740242938	-0.352821343878064	0.48206318482957	-0.740761640174106	0.423814942190201	0.680009080581404	0.999885117838691	1	0.997616554537396
"Acidocella"	-0.917081237932476	0.432490712914362	-2.116314960711	0.102360611016298	0.293592200707997	0.586355685648919	0.511021090642642	0.455284846549354	-0.206144231024479	0.702390738805371	-0.300170691467629	0.450974477856977	-0.775580855287629	0.480978099783744	-1.6195916110172	0.210706295436344	0.9147644212771	0.996820303885435	1	0.963798532612335
"Acidovorax"	-0.688712807518994	0.67068902875429	-1.02025814170659	0.368602369162549	-1.34484210752057	0.909296578098546	-1.48466696927526	0.211538874431616	8.45037994801453	1.08923902490517	7.77350340356141	1.12024648658176e-10	2.16250330038803	0.745881298634774	2.9025351651746	0.0148144690262078	1	0.990930881860824	6.02280133158662e-08	0.747409659224016
"Acinetobacter"	-1.82931725660647	0.584488674385139	-3.12341212684218	0.00974049390135195	3.38225985907413	0.792429171747299	4.27213649362205	0.000151433556632035	7.97499983746793	0.94924450298206	8.40856042637114	1.56312160395362e-13	5.13552073422007	0.650016852515744	7.9082137155542	8.14336738965419e-12	0.642801762548948	0.065172599194806	8.62775883584373e-11	4.1131285141968e-09
"Actinoallomurus"	-1.23833570073889	0.441947539119795	-2.79680790787874	0.0418508090432392	0.523593990448474	0.599176917754423	0.865659685300372	0.391803086397946	-0.101754230845968	0.717749189164752	-0.132899945344721	0.516084491218965	-0.365570090334373	0.491495149427709	-0.743621963952228	0.418264011891492	0.708249053183546	0.995650676369334	1	1
"Actinobacillus"	-1.08051711485966	0.437923416289737	-2.4624037951254	0.0780156790424592	0.884347424096487	0.59372115366355	1.49195280464038	0.241751060884514	-0.549390642883859	0.711213773436166	-0.766082545906035	0.390928642272221	-0.681073264805297	0.487019874249995	-1.40741331062256	0.257443893361472	0.815551343866963	0.971929037061637	1	0.965104153371804
"Actinocorallia"	6.08528893329994	0.478567124285252	12.7751001164053	7.1290464331573e-22	-3.78044069791605	0.648824462376086	-5.85065824280581	2.14083945074268e-06	-3.13915699402205	0.777221581775885	-4.05272869719555	0.00140897378328058	-7.30926659339663	0.532220228514525	-13.7838879167863	1.21836618486364e-26	3.77489026833932e-19	0.00105789691531859	0.245097012077139	6.66263808395527e-24
"Actinomadura"	-0.717227100667787	0.491367177856768	-1.44976417660639	0.231989106767267	0.0987490263932035	0.666178324468739	0.151081364948912	0.546448752505137	-0.27465415505626	0.798009632978792	-0.347044345996269	0.510399711667203	0.0473823456499766	0.546455321338765	0.0855570409343756	0.544356935198385	0.983639208664299	0.999662572409518	1	1
"Actinomyces"	-0.520166903561401	0.460485514496978	-1.1206090745406	0.327068206091572	2.36822069484567	0.624310052266339	3.81378156930867	0.00324613624571041	-2.11400820923405	0.747855967951731	-2.83635249596265	0.0369859602030308	-1.3236941048116	0.512111453788726	-2.59610987642646	0.0505134382385219	0.984527342540129	0.315827632339862	0.70373992639608	0.776712086592959
"Actinomycetospora"	-0.521012529801901	0.521675049157733	-0.992974277410922	0.373476319341945	2.40902416264993	0.707268669594266	3.42273050915026	0.00843069312850022	-2.55106508687726	0.84723142544516	-3.02222013195229	0.0150494914878466	0.126711028824264	0.580161067870517	0.223237634622118	0.604218378424935	1	0.43476102318784	0.687337096870041	1
