Genus	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AW1	AW2	AW3	AW4	AW5	AW6	AW7	AW8	AW9	DS1	DS2	DS3	DS4	DS5	DS6	DS7	DS8	DS9	DW1	DW2	DW3	DW4	DW5	DW6	DW7	DW8	DW9	RS1	RS2	RS3	RS4	RS5	RS6	RS7	RS8	RS9	RW1	RW3	RW4	RW7	RW9	SL1	SL2	SL3	SL4	SL5	SL6	SL7
Limnobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Limnohabitans	28	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	25	0	0	0	39	0	0	0	0	0	314	147	0	74	0	0	223	278	682	137	86	0	547	0	27	0	0	0	0	130	612	0	0	0	0	0	42	0	0	0	75
Longilinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
Luteibacter	31	1023	739	21	101	25	76	0	0	23	3118	2838	75	263	164	76	22	17	0	0	28	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	19	13	0	76	220	177	88	127	129	210
Luteimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	13	0	0	0	0	0	0	0
Luteolibacter	21	8	0	0	18	0	22	0	0	14	0	16	0	10	13	0	16	11	0	158	9	0	44	50	0	0	0	30	54	0	4	5	0	0	0	9	0	0	0	0	0	3	0	0	0	0	191	0	0	16	76	208	57	44	160	174	37
Lysobacter	0	0	0	0	0	0	0	0	0	0	0	6	0	0	13	0	0	7	0	0	0	270	10	0	0	0	65	0	0	64	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnetospirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	31	0	59	1049	212	213	47	56	25	0	0	26	200	45	24	76	26	0	53	17	0
Marinicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Marinobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	20	9	0	0	0	0
